classroom_id,building_name,room_number,capacity,room_type
98,Bldg L,378,174,Auditorium
99,Bldg R,341,286,Lab
100,Bldg F,288,254,Lecture Hall
101,Bldg J,202,109,Seminar
102,Bldg P,302,181,Lab
103,Bldg N,207,223,Lab
104,Bldg R,298,51,Auditorium
105,Bldg E,235,209,Auditorium
106,Bldg W,454,154,Lab
107,Bldg X,397,39,Seminar
108,Bldg K,169,264,Seminar
109,Bldg R,475,101,Auditorium
110,Bldg I,362,266,Auditorium
111,Bldg L,239,85,Lab
112,Bldg S,311,176,Lecture Hall
113,Bldg P,177,130,Lecture Hall
114,Bldg E,118,271,Lecture Hall
115,Bldg E,267,287,Auditorium
116,Bldg B,412,237,Seminar
117,Bldg L,240,258,Auditorium
118,Bldg B,253,237,Lecture Hall
119,Bldg D,495,109,Lecture Hall
120,Bldg V,493,278,Lecture Hall
121,Bldg C,285,173,Seminar
122,Bldg M,117,122,Lecture Hall
123,Bldg A,371,81,Seminar
124,Bldg A,385,221,Auditorium
125,Bldg E,464,104,Lecture Hall
126,Bldg N,478,206,Seminar
127,Bldg Q,350,47,Seminar
128,Bldg J,142,201,Auditorium
129,Bldg V,199,203,Lecture Hall
130,Bldg S,385,171,Lecture Hall
131,Bldg N,342,207,Lecture Hall
132,Bldg P,273,298,Seminar
133,Bldg O,260,256,Auditorium
134,Bldg P,383,148,Lecture Hall
135,Bldg N,268,265,Lab
136,Bldg X,161,287,Seminar
137,Bldg D,490,73,Auditorium
138,Bldg S,239,126,Auditorium
139,Bldg F,211,230,Seminar
140,Bldg B,127,169,Auditorium
141,Bldg E,287,66,Auditorium
142,Bldg S,493,157,Auditorium
143,Bldg O,163,130,Lab
144,Bldg M,197,229,Lab
145,Bldg H,171,169,Lab
146,Bldg O,137,67,Auditorium
147,Bldg O,340,43,Lab
148,Bldg K,218,107,Auditorium
149,Bldg L,399,72,Seminar
150,Bldg L,259,266,Lecture Hall
151,Bldg V,353,103,Lab
152,Bldg Y,135,201,Lecture Hall
153,Bldg O,231,64,Seminar
154,Bldg T,265,149,Lab
155,Bldg J,123,282,Lab
156,Bldg X,267,203,Lecture Hall
157,Bldg H,287,107,Lecture Hall
158,Bldg D,261,231,Auditorium
159,Bldg V,301,165,Auditorium
160,Bldg V,418,93,Lab
161,Bldg T,407,299,Auditorium
162,Bldg G,105,283,Seminar
163,Bldg M,355,182,Lab
164,Bldg M,460,38,Lab
165,Bldg O,447,141,Seminar
166,Bldg C,229,168,Auditorium
167,Bldg C,412,281,Lab
168,Bldg M,419,227,Lab
169,Bldg F,245,90,Auditorium
170,Bldg Z,446,167,Seminar
171,Bldg L,352,78,Lab
172,Bldg G,399,157,Lab
173,Bldg K,398,174,Seminar
174,Bldg F,411,167,Lecture Hall
175,Bldg E,481,145,Lecture Hall
176,Bldg T,442,148,Seminar
177,Bldg H,268,245,Lecture Hall
178,Bldg Y,324,166,Seminar
179,Bldg R,358,41,Auditorium
180,Bldg M,441,230,Lecture Hall
181,Bldg F,256,196,Lab
182,Bldg S,224,217,Auditorium
183,Bldg U,394,221,Lecture Hall
184,Bldg C,480,76,Auditorium
185,Bldg R,463,292,Lecture Hall
186,Bldg P,159,297,Auditorium
187,Bldg U,466,69,Lab
188,Bldg S,414,89,Lecture Hall
189,Bldg G,162,96,Seminar
190,Bldg V,102,290,Lecture Hall
191,Bldg X,181,281,Lab
192,Bldg U,470,101,Seminar
193,Bldg V,401,200,Seminar
194,Bldg O,329,95,Lab
195,Bldg K,351,40,Auditorium
196,Bldg T,264,92,Lab
197,Bldg Y,461,50,Lab
198,Bldg H,162,258,Lab
199,Bldg U,225,242,Auditorium
200,Bldg O,180,79,Seminar
201,Bldg U,438,183,Lecture Hall
202,Bldg E,315,85,Auditorium
203,Bldg P,372,182,Lab
204,Bldg L,466,271,Lab
205,Bldg D,177,267,Lecture Hall
206,Bldg G,484,254,Auditorium
207,Bldg C,150,95,Lecture Hall
208,Bldg Y,400,81,Auditorium
209,Bldg Y,380,73,Lecture Hall
210,Bldg K,429,64,Seminar
211,Bldg Q,163,195,Lecture Hall
212,Bldg X,483,207,Lab
213,Bldg M,416,268,Auditorium
214,Bldg E,144,54,Seminar
215,Bldg A,322,101,Seminar
216,Bldg P,426,226,Lecture Hall
217,Bldg C,290,213,Auditorium
218,Bldg G,251,145,Lab
219,Bldg Q,209,71,Seminar
220,Bldg S,305,160,Auditorium
221,Bldg I,492,76,Seminar
222,Bldg P,342,174,Seminar
223,Bldg V,388,273,Lecture Hall
224,Bldg O,411,82,Lab
225,Bldg V,410,61,Seminar
226,Bldg R,259,229,Lecture Hall
227,Bldg K,406,36,Lab
228,Bldg J,230,295,Auditorium
229,Bldg U,333,239,Auditorium
230,Bldg U,220,138,Auditorium
231,Bldg B,474,127,Auditorium
232,Bldg O,391,134,Auditorium
233,Bldg S,332,137,Lecture Hall
234,Bldg I,280,256,Auditorium
235,Bldg L,307,245,Seminar
236,Bldg H,411,85,Auditorium
237,Bldg T,209,78,Seminar
238,Bldg G,430,175,Lecture Hall
239,Bldg I,212,205,Seminar
240,Bldg C,156,226,Auditorium
241,Bldg D,394,114,Lecture Hall
242,Bldg F,382,160,Seminar
243,Bldg G,233,58,Seminar
244,Bldg N,358,153,Lab
245,Bldg J,390,215,Auditorium
246,Bldg N,414,112,Lecture Hall
247,Bldg W,480,116,Lab
248,Bldg F,440,154,Auditorium
249,Bldg U,275,263,Seminar
250,Bldg R,191,193,Lecture Hall
251,Bldg K,138,278,Lecture Hall
252,Bldg B,328,46,Seminar
253,Bldg M,365,259,Auditorium
254,Bldg S,375,41,Lecture Hall
255,Bldg M,103,117,Lecture Hall
256,Bldg O,379,145,Lab
257,Bldg W,414,93,Lecture Hall
258,Bldg E,387,297,Lecture Hall
259,Bldg X,309,271,Lab
260,Bldg A,106,184,Seminar
261,Bldg M,295,152,Auditorium
262,Bldg Y,357,235,Lab
263,Bldg I,327,221,Seminar
264,Bldg O,329,159,Auditorium
265,Bldg J,306,253,Lecture Hall
266,Bldg A,320,82,Auditorium
267,Bldg W,229,104,Lecture Hall
268,Bldg K,341,34,Seminar
269,Bldg L,212,62,Auditorium
270,Bldg W,296,83,Auditorium
271,Bldg A,265,198,Lab
272,Bldg H,384,260,Seminar
273,Bldg P,457,189,Lecture Hall
274,Bldg K,352,150,Lab
275,Bldg A,154,102,Auditorium
276,Bldg D,366,57,Lecture Hall
277,Bldg X,229,187,Lecture Hall
278,Bldg N,119,68,Seminar
279,Bldg A,176,243,Seminar
280,Bldg K,498,140,Lab
281,Bldg L,270,124,Lecture Hall
282,Bldg P,180,37,Lecture Hall
283,Bldg X,153,95,Seminar
284,Bldg B,359,33,Lab
285,Bldg I,403,225,Auditorium
286,Bldg P,240,162,Lab
287,Bldg Q,141,242,Lab
288,Bldg O,241,182,Lecture Hall
289,Bldg V,365,287,Seminar
290,Bldg C,145,241,Lab
291,Bldg E,206,69,Auditorium
292,Bldg H,100,61,Lab
293,Bldg P,288,270,Auditorium
294,Bldg X,168,102,Lab
295,Bldg X,179,236,Lab
296,Bldg F,145,199,Lab
297,Bldg R,391,219,Lab
298,Bldg P,295,102,Lab
299,Bldg W,478,114,Auditorium
300,Bldg H,257,179,Seminar
301,Bldg L,188,35,Lecture Hall
302,Bldg P,181,114,Lecture Hall
303,Bldg M,480,167,Lecture Hall
304,Bldg Q,335,85,Seminar
305,Bldg L,229,107,Lecture Hall
306,Bldg N,361,295,Lab
307,Bldg I,322,108,Auditorium
308,Bldg E,145,273,Lecture Hall
309,Bldg T,379,280,Lecture Hall
310,Bldg N,147,211,Lecture Hall
311,Bldg L,179,71,Lab
312,Bldg G,384,85,Lecture Hall
313,Bldg Y,277,282,Seminar
314,Bldg Z,188,30,Seminar
315,Bldg T,127,166,Lecture Hall
316,Bldg S,336,190,Seminar
317,Bldg U,378,256,Lab
318,Bldg S,181,271,Lecture Hall
319,Bldg B,266,106,Lab
320,Bldg T,237,165,Seminar
321,Bldg K,455,201,Lecture Hall
322,Bldg J,415,290,Auditorium
323,Bldg P,209,180,Auditorium
324,Bldg C,304,62,Lecture Hall
325,Bldg P,468,279,Lecture Hall
326,Bldg W,237,168,Lab
327,Bldg O,156,78,Auditorium
328,Bldg Z,219,81,Lecture Hall
329,Bldg I,342,85,Lab
330,Bldg X,495,224,Seminar
331,Bldg D,222,286,Lecture Hall
332,Bldg N,123,149,Lecture Hall
333,Bldg Q,172,56,Lecture Hall
334,Bldg N,264,269,Lecture Hall
335,Bldg P,137,201,Seminar
336,Bldg J,113,184,Auditorium
337,Bldg W,361,46,Lab
338,Bldg I,428,292,Lab
339,Bldg Q,193,50,Lecture Hall
340,Bldg S,308,194,Auditorium
341,Bldg T,328,191,Auditorium
342,Bldg M,366,168,Seminar
343,Bldg D,490,178,Lab
344,Bldg W,453,137,Lecture Hall
345,Bldg K,226,184,Auditorium
346,Bldg D,489,128,Lecture Hall
347,Bldg V,113,157,Lecture Hall
348,Bldg U,483,213,Seminar
349,Bldg N,156,230,Lecture Hall
350,Bldg A,145,71,Lecture Hall
351,Bldg A,147,297,Seminar
352,Bldg R,148,56,Lecture Hall
353,Bldg A,284,104,Lab
354,Bldg I,355,123,Seminar
355,Bldg J,397,117,Lecture Hall
356,Bldg G,106,125,Auditorium
357,Bldg L,218,117,Lecture Hall
358,Bldg X,152,147,Seminar
359,Bldg R,158,236,Lecture Hall
360,Bldg H,397,253,Seminar
361,Bldg K,355,123,Auditorium
362,Bldg X,183,99,Auditorium
363,Bldg Y,220,212,Lab
364,Bldg D,469,46,Lecture Hall
365,Bldg A,329,150,Auditorium
366,Bldg B,195,89,Seminar
367,Bldg N,472,194,Lecture Hall
368,Bldg V,179,51,Lecture Hall
369,Bldg P,216,253,Lab
370,Bldg B,376,102,Seminar
371,Bldg Z,304,168,Lab
372,Bldg X,127,184,Auditorium
373,Bldg O,421,158,Seminar
374,Bldg U,191,150,Auditorium
375,Bldg N,375,102,Auditorium
376,Bldg A,233,238,Lab
377,Bldg H,399,169,Auditorium
378,Bldg W,458,88,Lab
379,Bldg V,408,100,Lecture Hall
380,Bldg I,467,148,Lab
381,Bldg Y,315,257,Lab
382,Bldg L,125,289,Auditorium
383,Bldg H,313,134,Auditorium
384,Bldg A,284,136,Lecture Hall
385,Bldg B,386,64,Lecture Hall
386,Bldg U,199,177,Seminar
387,Bldg Z,378,94,Seminar
388,Bldg W,276,251,Seminar
389,Bldg O,367,174,Lab
390,Bldg U,267,89,Auditorium
391,Bldg G,252,277,Lab
392,Bldg I,185,250,Lab
393,Bldg C,430,111,Lab
394,Bldg L,127,62,Auditorium
395,Bldg E,194,101,Lab
396,Bldg P,270,131,Seminar
397,Bldg I,162,139,Auditorium
398,Bldg Y,465,252,Lecture Hall
399,Bldg V,237,291,Seminar
400,Bldg E,196,231,Seminar
401,Bldg X,201,258,Auditorium
402,Bldg C,176,63,Lecture Hall
403,Bldg E,364,70,Seminar
404,Bldg R,292,275,Auditorium
405,Bldg D,192,195,Lab
406,Bldg H,448,93,Seminar
407,Bldg G,361,243,Lab
408,Bldg B,260,77,Seminar
409,Bldg T,304,237,Lab
410,Bldg J,361,268,Lecture Hall
411,Bldg H,160,161,Auditorium
412,Bldg Z,422,207,Lecture Hall
413,Bldg Q,203,227,Lecture Hall
414,Bldg B,111,267,Auditorium
415,Bldg D,308,187,Auditorium
416,Bldg Y,449,109,Seminar
417,Bldg R,392,84,Seminar
418,Bldg B,223,125,Lab
419,Bldg R,258,45,Seminar
420,Bldg P,337,218,Seminar
421,Bldg W,192,129,Seminar
422,Bldg L,427,222,Seminar
423,Bldg Y,217,46,Seminar
424,Bldg G,186,116,Auditorium
425,Bldg O,137,136,Seminar
426,Bldg J,376,53,Lab
427,Bldg D,110,253,Seminar
428,Bldg F,421,191,Lecture Hall
429,Bldg X,488,257,Lecture Hall
430,Bldg N,144,246,Auditorium
431,Bldg A,138,39,Seminar
432,Bldg A,472,263,Lecture Hall
433,Bldg F,149,48,Lab
434,Bldg N,262,265,Auditorium
435,Bldg U,447,210,Seminar
436,Bldg X,155,251,Auditorium
437,Bldg O,364,164,Seminar
438,Bldg I,252,73,Lecture Hall
439,Bldg K,273,70,Lecture Hall
440,Bldg V,471,62,Lecture Hall
441,Bldg Y,358,247,Seminar
442,Bldg Q,227,174,Auditorium
443,Bldg M,473,88,Lab
444,Bldg C,331,63,Seminar
445,Bldg Q,139,51,Seminar
446,Bldg S,256,99,Seminar
447,Bldg U,197,232,Seminar
448,Bldg V,356,270,Lab
449,Bldg I,443,194,Seminar
450,Bldg E,115,298,Lab
451,Bldg Y,411,136,Seminar
452,Bldg A,465,119,Auditorium
453,Bldg M,496,217,Lecture Hall
454,Bldg E,363,66,Seminar
455,Bldg J,225,276,Lecture Hall
456,Bldg R,157,240,Lab
457,Bldg R,477,39,Seminar
458,Bldg O,264,80,Lab
459,Bldg Q,237,199,Lecture Hall
460,Bldg E,392,229,Lab
461,Bldg V,385,88,Lecture Hall
462,Bldg A,422,231,Seminar
463,Bldg F,452,158,Lecture Hall
464,Bldg Y,449,212,Lab
465,Bldg R,168,144,Lab
466,Bldg E,167,152,Auditorium
467,Bldg L,182,135,Auditorium
468,Bldg G,350,72,Lecture Hall
469,Bldg Y,331,81,Lecture Hall
470,Bldg Y,442,75,Seminar
471,Bldg N,436,246,Lab
472,Bldg L,424,144,Seminar
473,Bldg Z,131,132,Auditorium
474,Bldg K,377,261,Lecture Hall
475,Bldg E,439,269,Auditorium
476,Bldg E,491,93,Lecture Hall
477,Bldg A,236,125,Lecture Hall
478,Bldg K,409,141,Seminar
479,Bldg G,262,256,Auditorium
480,Bldg Z,164,211,Seminar
481,Bldg R,235,177,Lecture Hall
482,Bldg J,200,93,Lecture Hall
483,Bldg Q,463,134,Auditorium
484,Bldg B,170,37,Seminar
485,Bldg H,152,220,Lecture Hall
486,Bldg A,331,278,Seminar
487,Bldg F,329,242,Lab
488,Bldg L,323,113,Lecture Hall
489,Bldg D,159,160,Lecture Hall
490,Bldg L,298,288,Auditorium
491,Bldg O,470,144,Seminar
492,Bldg Y,135,256,Lecture Hall
493,Bldg D,418,185,Lecture Hall
494,Bldg M,150,164,Lab
495,Bldg Z,193,187,Lab
496,Bldg C,458,90,Lab
497,Bldg T,218,144,Seminar
498,Bldg K,308,112,Lecture Hall
499,Bldg W,252,234,Lecture Hall
500,Bldg J,345,195,Seminar
